user_id,user_create_date,user_birth_date,user_gender,user_interested_in,days_open,matches,swipes_like,swipes_pass,messages_received,messages_sent,avg_convo_length_msgs,avg_convo_length_days,longest_convo_msgs,longest_convo_days,median_convo_length_msgs,median_convo_length_days,number_conversations,number_ghostings,number_one_msg_conversations
00365a51cb920f38e3cbda41ab3135cb,2021-06-07T17:58:14Z,1986-11-13T00:00:00Z,M,F,0,0,0,0,0,0,13.166666666666666,0.800434027777778,78,2.530914351851852,9,0.5247800925925926,12,0,3
0054c12d2889e9428e54a3fd06600bd3,2016-08-11T04:38:09Z,1994-07-27T00:00:00Z,M,M and F,312,303,8177,5767,444,514,3.8679245283018866,2.297254178313534,43,69.80402777777778,1,0,159,53,35
008c29d66d5975b0127132144576201f,2019-08-31T16:53:30Z,1997-08-12T00:00:00Z,M,F,505,366,6510,71394,502,751,4.512345679012346,5.089839677640604,48,200.1221875,2,8.101851851851e-5,162,7,73
00b113ee72d90509f1ae8589044076ee,2018-06-10T17:48:39Z,1996-07-12T00:00:00Z,NA,NA,629,2023,15315,28662,4764,4793,0,0,0,0,0,0,0,0,0
00b74e27ad1cbb2ded8e907fcc49eaaf,2016-01-01T09:30:07Z,1976-01-01T00:00:00Z,M,F,464,3408,23341,24229,3261,3360,8.56021650879567,10.236619931839824,133,683.5574421296296,3,0.08113425925925925,739,66,226
00ff275ea954e6564836e1375c31ce25,2019-12-16T22:25:26Z,2000-06-11T00:00:00Z,M,F,343,503,20914,5554,1305,1316,11.06140350877193,1.4542124553281353,59,14.212731481481482,7,0.13417824074074075,114,4,18
012f31c934343673c067978eb027edb7,2020-08-16T15:49:25Z,1994-06-22T00:00:00Z,M,F,6,2,127,5133,1,0,6.650375939849624,2.1257880595586185,134,62.18831018518519,3,0.1634722222222222,532,30,145
01a920152b82205cb42646472ecd0e29,2021-07-04T05:14:08Z,1999-05-31T00:00:00Z,M,F,0,0,0,0,0,0,4.032258064516129,1.3007254330943847,45,17.208252314814814,2,4.629629629629e-5,62,0,30
024610702baf540af5637873cd1534e9,2016-07-12T02:26:46Z,1997-07-04T00:00:00Z,M,F,1196,888,45068,49559,1509,2088,4.495689655172414,3.973980159442856,36,622.4665277777777,2,6.944444444444e-5,464,16,56
026dc738197bdaccce4ff29502227bbc,2021-07-09T02:08:24Z,1997-06-01T00:00:00Z,M,F,0,0,0,0,0,0,13.9,0.0503599537037037,52,0.22936342592592593,6,0.02173611111111111,10,0,4
